lemma,tag,POS
ercisco,1,VERB
controversia,1,NOUN
pristinus,1,ADJ
convenio,1,VERB
lex,1,NOUN
satisdatio,1,NOUN
sum,0,NOUN
tabula,1,NOUN
mandatum,1,NOUN
vicesimus,0,ADJ
aduersus,0,NOUN
heres,1,NOUN
nolo,1,VERB
fideicommissum,1,NOUN
mitto,1,VERB
nuntio,0,VERB
satis,0,NOUN
imprudens,1,ADJ
committo,1,VERB
hereditarius,1,ADJ
loco,1,VERB
intercedo,1,VERB
emptum,1,NOUN
fides,1,NOUN
filia,0,NOUN
reus,1,NOUN
affero,1,VERB
tres,0,NOUN
praedico,0,VERB
appello,1,VERB
repello,1,VERB
contractus,1,NOUN
negotium,1,NOUN
saltus,0,NOUN
adeo,1,VERB
noto,1,VERB
manus,1,NOUN
contentus,1,NOUN
civitas,1,NOUN
impedio,1,VERB
caput,1,NOUN
plenus,1,NOUN
conatus,0,NOUN
addo,1,VERB
detineo,1,VERB
finio,1,VERB
pubertas,1,NOUN
recipio,1,VERB
redhibeo,1,VERB
emancipo,1,VERB
voluntas,1,NOUN
facultas,1,NOUN
onus,1,NOUN
praedium,1,NOUN
codicillus,1,NOUN
oportet,1,NOUN
defensio,1,NOUN
satisdo,1,VERB
colonus,1,NOUN
amplus,0,NOUN
ostendo,1,VERB
habeo,1,VERB
obligatio,1,NOUN
FALSO,0,VERB
infamia,1,NOUN
credo,1,VERB
ludus,0,NOUN
abeo,0,VERB
pervenio,1,VERB
compello,1,VERB
pensio,1,NOUN
paternus,1,NOUN
mos,1,NOUN
uetus,1,NOUN
fugitivus,1,ADJ
uoluntas,0,NOUN
respondeo,1,VERB
decerno,1,VERB
iustus,1,NOUN
patior,1,VERB
decedo,1,VERB
gladius,1,NOUN
propositum,1,NOUN
constitutio,1,NOUN
vir,1,NOUN
concurro,1,VERB
absum,0,VERB
invenio,0,VERB
fundus,1,NOUN
disputatio,1,NOUN
dies,1,NOUN
responsum,1,NOUN
bonum,1,NOUN
duodecimus,1,NOUN
opera,1,NOUN
seruo,1,VERB
do,1,NOUN
verus,1,ADJ
paro,1,VERB
sententia,1,NOUN
emo,1,VERB
coepio,0,VERB
nummus,1,NOUN
alo,1,VERB
alienus,1,NOUN
donatio,1,NOUN
aditus,1,NOUN
intestatus,1,NOUN
divus,1,ADJ
defungor,1,VERB
Aquilia,0,NOUN
ago,1,VERB
denego,1,VERB
sumptus,1,NOUN
vis,1,NOUN
testator,1,VERB
quaestor,1,VERB
magistratus,1,NOUN
proprius,0,NOUN
mando,1,VERB
iter,1,NOUN
sto,1,VERB
absens,1,ADJ
excipio,1,VERB
locatio,1,NOUN
stipendium,1,NOUN
ciuitas,1,NOUN
praesens,1,ADJ
annus,0,NOUN
provincialis,1,ADJ
reddo,1,VERB
aestimo,1,VERB
incido,1,VERB
certe,0,NOUN
minuo,1,VERB
male,0,NOUN
cautio,1,NOUN
locuples,1,NOUN
ancilla,?,NOUN
cognosco,1,VERB
actor,1,VERB
epistula,1,NOUN
desum,0,NOUN
nemo,0,VERB
uerus,1,NOUN
moveo,1,VERB
voco,1,VERB
hereditas,1,NOUN
conficio,1,VERB
succedo,1,VERB
impedimentum,1,NOUN
studeo,0,VERB
quantitas,1,NOUN
ordo,1,VERB
recuso,1,VERB
decurio,1,VERB
dominium,1,NOUN
solutio,1,NOUN
liberus,1,NOUN
paucus,0,NOUN
quaero,1,VERB
divido,1,VERB
ceterus,0,NOUN
dux,1,NOUN
arbiter,1,NOUN
deduco,1,VERB
divortium,1,NOUN
ratus,1,ADJ
vicinus,1,ADJ
consul,1,NOUN
falsus,1,NOUN
enitor,0,VERB
verso,1,VERB
invitus,1,NOUN
soluo,1,VERB
fructus,1,NOUN
officium,1,NOUN
uicesimus,0,NOUN
suspicio,0,VERB
pignorium,1,NOUN
aio,1,VERB
licentia,1,NOUN
quintus,0,NOUN
iubeo,1,VERB
hostis,1,NOUN
probo,1,VERB
possum,0,VERB
universus,1,NOUN
iudicium,1,NOUN
certus,1,NOUN
occupo,1,VERB
stipulatus,1,NOUN
princeps,1,NOUN
dos,1,NOUN
proprietas,1,NOUN
metus,1,NOUN
quaeso,0,VERB
casus,1,NOUN
utilis,1,ADJ
communis,1,NOUN
bonus,1,ADJ
malo,1,VERB
contraho,1,VERB
